                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5774,                  5.754,                 4.2912,                      0,                      0,                      0,                      0,                 3.4625,                 5.3518,                 4.1566,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.5489,                 5.6972,                 4.2767,                      0,                      0,                      0,                      0,                  3.464,                 5.3379,                 4.1421,               0.086499,              0.0014985,              0.0014985
                      2,                 3.6222,                  5.684,                  4.253,                      0,                      0,                      0,                      0,                 3.4648,                 5.3295,                 4.1341,               0.079295,              0.0022954,              0.0022954
                      3,                 3.5803,                 5.6597,                 4.2321,                      0,                      0,                      0,                      0,                 3.4666,                 5.3175,                  4.123,               0.072091,              0.0030908,              0.0030908
                      4,                 3.5795,                  5.645,                 4.2218,                      0,                      0,                      0,                      0,                 3.4695,                 5.3082,                  4.112,               0.064885,              0.0038846,              0.0038846
                      5,                 3.5323,                 5.6242,                 4.1817,                      0,                      0,                      0,                      0,                 3.4713,                 5.2978,                 4.1006,               0.057677,              0.0046767,              0.0046767
                      6,                 3.6848,                 5.6214,                 4.1564,                      0,                      0,                      0,                      0,                 3.4739,                 5.2913,                 4.0904,               0.050467,              0.0054673,              0.0054673
                      7,                 3.5651,                 5.5817,                 4.1296,                      0,                      0,                      0,                      0,                 3.4759,                 5.2811,                 4.0799,               0.043256,              0.0062563,              0.0062563
                      8,                  3.524,                 5.5679,                 4.1061,                      0,                      0,                      0,                      0,                 3.4791,                 5.2731,                 4.0679,               0.036044,              0.0070438,              0.0070438
                      9,                 3.5916,                 5.4932,                 4.0841,                      0,                      0,                      0,                      0,                 3.4793,                 5.2684,                 4.0593,                0.02883,              0.0078296,              0.0078296
